# Instagram seeds — usernames only; every figure is read through Business Discovery.
#   1. Handles our own YouTube creators link from their bios and upload captions
#      (the handle a channel links most; Indian channels first). A link is a
#      claim by the creator, so the row carries the YouTube creator id it came
#      from — cross-linking is done after the Instagram read confirms a match.
#   2. Kaggle bhavyadhingra00020/top-100-social-media-influencers-2024-countrywise (India, then the rest)
#   3. HF Shikha180224/dexfluence-indian-creator-index, instagram rows
#   4. Kaggle syedjaferk/top-200-instagrammers-data-cleaned
# One username per line; `# yt:<id>` after it names the linking YouTube creator.
financefriendtelugu  # yt:yt_UCitSLfqd9TZ9DE2_AWV6Gtg
smileytalks06  # yt:yt_UC8ss6LoncalRMjsHA--G8KA
priyareddybtiktok  # yt:yt_UCQ5BWAnYdhlohjpRrSLNPZw
indore_physical_academy  # yt:yt_UCdsgnTGjq69wpOzPnqNuebA
parislifstyle  # yt:yt_UCt_KDu-DtBqvIw7X-V7mlmQ
stylenestbyravali  # yt:yt_UCGU8R9KpK3eflX77RH2Vh5g
grandpakitchen.official  # yt:yt_UC1of9ELYwB623fWaAMRDVFA
anujbucket  # yt:yt_UCMLa7SJrUOsbif-G_OhGnbQ
pagidimahendra  # yt:yt_UC-5C4MadZwbHGj1ng5x2eLw
fukra_insaan  # yt:yt_UClfos9f7uDdoun8ZyE9jYFg
gayathri.iy  # yt:yt_UCQSfBD2906Fcbf3Rc11un6Q
ajayark26  # yt:yt_UCjx-YIjkPMauIdbKmDgEjpw
ajaydhailavlogs  # yt:yt_UCQaJbQ100ckOpa1oRlvJR-w
crafter_aditi  # yt:yt_UCr8CGgjyJpgdLVy8Duu2IrA
brandpunjagutta01  # yt:yt_UC6W8MnmjttMWwR4XaKLhXFA
techcertified.youtube  # yt:yt_UC9wQg0-zPEx-I3vT1b7P6jg
creating_for_you3  # yt:yt_UC7jyEn3Q4GZvvrqEWQVFiSg
irfansview.official  # yt:yt_UCnjU1FHmao9YNfPzE039YTw
wetoomedia  # yt:yt_UC577GCrC_N1pLkKJ0gmvCDA
iam_nandinirajp  # yt:yt_UCvUQlc8xLcZPPsPXeWieXkg
